#SNname    zcmb    sBV    +/-   dm15   +/-   M(H)    +/-     M(J)    +/-     M(Y)    +/-     M(i)    +/-     M(V)    +/-     M(B)    +/-    
SN2008R    0.01289  0.592 0.005  1.807 0.022 -18.061  0.176 -18.254  0.185 -18.101  0.178 -18.063  0.169 -18.535  0.169 -18.453  0.170
SN2008ar   0.02725  0.971 0.006  1.010 0.009 -18.378  0.094 -18.456  0.085 -18.391  0.082 -18.445  0.082 -19.196  0.082 -19.279  0.082
SN2008bc   0.01571  1.051 0.005  0.832 0.019 -18.277  0.139 -18.470  0.139 -18.319  0.139 -18.459  0.139 -19.286  0.139 -19.333  0.140
SN2008bd   0.03128  0.409 0.011  1.998 0.040 -18.473  0.155 -18.761  0.154 -18.334  0.083 -18.074  0.110 -18.605  0.090 -18.225  0.101
SN2008bf   0.02508  1.023 0.004  0.949 0.032 -18.199  0.097 -18.627  0.087 -18.456  0.087 -18.554  0.087 -19.343  0.087 -19.394  0.087
SN2008bi   0.01439  0.480 0.027  1.782 0.040 -17.879  0.169 -18.525  0.201 -17.875  0.173 -17.793  0.178 -18.237  0.174 -18.038  0.193
SN2008bq   0.03444  1.156 0.009  0.919 0.009 -18.456  0.144 -18.788  0.121 -18.664  0.090 -18.679  0.070 -19.500  0.072 -19.587  0.072
SN2008bt   0.01658  0.469 0.009  1.853 0.038 -17.963  0.268 -18.094  0.196 -17.936  0.141 -17.852  0.135 -18.267  0.137 -18.051  0.137
SN2008bz   0.06133  0.928 0.022  1.080 0.049  99.990  9.990  99.990  9.990 -18.301  0.108 -18.326  0.074 -19.130  0.056 -19.186  0.067
SN2008cc   0.01012  0.788 0.017  1.404 0.035 -18.677  0.216 -18.946  0.220 -18.708  0.216 -18.620  0.223 -19.350  0.219 -19.387  0.222
SN2008cd   0.00846  1.011 0.080  1.070 0.156  99.990  9.990  99.990  9.990  99.990  9.990 -18.688  0.331 -19.430  0.352 -19.511  0.357
SN2008cf   0.04683  1.118 0.035  0.796 0.043 -18.347  0.085 -18.455  0.192 -18.224  0.083 -18.524  0.082 -19.428  0.062 -19.432  0.070
SN2008ff   0.01867  1.115 0.011  0.844 0.013 -18.155  0.118 -18.315  0.123 -18.300  0.118 -18.382  0.119 -19.260  0.118 -19.269  0.118
SN2008fl   0.01942  0.856 0.018  1.330 0.035 -18.460  0.121 -18.634  0.142 -18.641  0.126 -18.563  0.129 -19.185  0.121 -19.273  0.127
SN2008fp   0.00629  1.082 0.007  0.810 0.030 -18.636  0.345 -18.980  0.345 -18.798  0.346 -18.967  0.346 -19.733  0.347 -19.761  0.346
SN2008fr   0.03791  1.126 0.028  0.958 0.042 -18.186  0.077 -18.224  0.129 -18.207  0.082 -18.370  0.087 -19.220  0.074 -19.256  0.084
